ID,Role,Team,Body,Hair,MVP,Accessory Group,p_Base_Traits,p_Flair_Traits,p_All_Traits,p_All_Stats,p_Total,Image,p_Dunks,p_Shooting,p_Playmaking,p_Defense
7353,All-Star,All-Stars,Human,Custom,True,None,99.99,16.81,99.99,99.99,99.99,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/5209.png,99.58762886597938,99.61855670103093,99.65463917525773,99.58247422680412
2284,All-Star,All-Stars,Human,Custom,True,None,99.99,16.81,99.99,99.99,99.99,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/1027.png,99.58762886597938,99.61855670103093,99.65463917525773,99.58247422680412
5316,All-Star,All-Stars,Human,Custom,True,None,99.99,16.81,99.99,99.99,99.99,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/9250.png,99.58762886597938,99.61855670103093,99.65463917525773,99.58247422680412
9409,Player,Miami Tentacles,Bright Pink Alien,Cheetah,False,"Armband, Gold Chain",96.12,99.61,96.21,75.54,95.87,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/5806.png,73.0,26.70618556701031,34.896907216494846,96.24226804123711
2805,Player,Los Angeles Knives,Bright Zombie,Brunette Bun,False,3D Glasses,98.51,99.52,98.51,58.96,90.63,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/6791.png,55.94329896907217,52.824742268041234,56.24226804123711,51.92783505154639
1510,Player,Charlotte Clovers,Alien,Pink Pigtails,False,3D Glasses,97.75,99.52,97.76,75.54,96.31,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/1345.png,43.50515463917526,44.30927835051546,82.12886597938144,82.45876288659794
6601,Player,New York Golden Bulls,Bright Pink Alien,Blonde Crew,False,Gold Chain,96.42,99.26,96.48,46.41,83.42,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/2547.png,55.94329896907217,48.55670103092783,82.12886597938144,12.587628865979381
9586,Player,Los Angeles Knives,Devil,Pink Ponytail,False,Gold Chain,98.4,99.26,98.4,61.27,91.65,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/5847.png,2.4329896907216497,82.05154639175257,86.48969072164948,65.24226804123711
5637,Captain,Toronto Spears,Alien,Red Crew,False,"Armband, Headband, Red Headphones",99.74,98.75,99.74,90.29,99.07,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/4590.png,60.118556701030926,57.376288659793815,69.56185567010309,93.0721649484536
3885,Player,Sierra Spiders,Bright Zombie,Cheetah,False,"Armband, Headband, Red Headphones",95.79,98.75,95.82,97.8,99.37,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/6377.png,98.75257731958763,69.68556701030928,82.12886597938144,65.24226804123711
